P	w[0]=向	w[1]=朋友	pos[0]=P	pos[1]=N	__BOS__
N	w[-1]=了	w[0]=美國	w[1]=密蘇里	pos[-1]=ASP	pos[0]=N	pos[1]=N
N	w[-1]=美國	w[0]=密蘇里	w[1]=倫比亞	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=密蘇里	w[0]=倫比亞	w[1]=大學	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=倫比亞	w[0]=大學	w[1]=針對	pos[-1]=N	pos[0]=N	pos[1]=P
P	w[-1]=大學	w[0]=針對	w[1]=813	pos[-1]=N	pos[0]=P	pos[1]=DET
DET	w[-1]=針對	w[0]=813	w[1]=位	pos[-1]=P	pos[0]=DET	pos[1]=M
M	w[-1]=813	w[0]=位	w[1]=學生	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=位	w[0]=學生	w[1]=所	pos[-1]=M	pos[0]=N	pos[1]=ADV
ADV	w[-1]=學生	w[0]=所	w[1]=作	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=所	w[0]=作	w[1]=的	pos[-1]=ADV	pos[0]=Vt	pos[1]=T
T	w[-1]=作	w[0]=的	w[1]=研究	pos[-1]=Vt	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=研究	w[1]=，	pos[-1]=T	pos[0]=Nv	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=研究	w[0]=，	w[1]=指出	pos[-1]=Nv	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=指出	w[1]=一	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=DET
DET	w[-1]=指出	w[0]=一	w[1]=項	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=一	w[0]=項	w[1]=驚人	pos[-1]=DET	pos[0]=M	pos[1]=Vi
Vi	w[-1]=項	w[0]=驚人	w[1]=的	pos[-1]=M	pos[0]=Vi	pos[1]=T
T	w[-1]=驚人	w[0]=的	w[1]=事實	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=事實	w[1]=：	pos[-1]=T	pos[0]=N	pos[1]=COLONCATEGORY
COLONCATEGORY	w[-1]=事實	w[0]=：	w[1]=經常	pos[-1]=N	pos[0]=COLONCATEGORY	pos[1]=ADV
ADV	w[-1]=：	w[0]=經常	w[1]=跟	pos[-1]=COLONCATEGORY	pos[0]=ADV	pos[1]=P
P	w[-1]=經常	w[0]=跟	w[1]=朋友	pos[-1]=ADV	pos[0]=P	pos[1]=N
N	w[-1]=跟	w[0]=朋友	w[1]=抱怨	pos[-1]=P	pos[0]=N	pos[1]=Vt
Vt	w[-1]=朋友	w[0]=抱怨	w[1]=，	pos[-1]=N	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=抱怨	w[0]=，	w[1]=反而	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=反而	w[1]=會	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=ADV
ADV	w[-1]=反而	w[0]=會	w[1]=讓	pos[-1]=C	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=讓	w[1]=人	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=讓	w[0]=人	w[1]=更	pos[-1]=Vt	pos[0]=N	pos[1]=ADV
ADV	w[-1]=人	w[0]=更	w[1]=沮喪	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=更	w[0]=沮喪	w[1]=，	pos[-1]=ADV	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=沮喪	w[0]=，	w[1]=而且	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=而且	w[1]=這	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=DET
DET	w[-1]=而且	w[0]=這	w[1]=個	pos[-1]=C	pos[0]=DET	pos[1]=M
M	w[-1]=這	w[0]=個	w[1]=現象	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=個	w[0]=現象	w[1]=發生	pos[-1]=M	pos[0]=N	pos[1]=Vt
Vt	w[-1]=現象	w[0]=發生	w[1]=在	pos[-1]=N	pos[0]=Vt	pos[1]=P
P	w[-1]=發生	w[0]=在	w[1]=女性	pos[-1]=Vt	pos[0]=P	pos[1]=N
N	w[-1]=在	w[0]=女性	w[1]=身	pos[-1]=P	pos[0]=N	pos[1]=N
N	w[-1]=女性	w[0]=身	w[1]=上	pos[-1]=N	pos[0]=N	pos[1]=POST
POST	w[-1]=身	w[0]=上	w[1]=比	pos[-1]=N	pos[0]=POST	pos[1]=P
P	w[-1]=上	w[0]=比	w[1]=男性	pos[-1]=POST	pos[0]=P	pos[1]=N
N	w[-1]=比	w[0]=男性	w[1]=更	pos[-1]=P	pos[0]=N	pos[1]=ADV
ADV	w[-1]=男性	w[0]=更	w[1]=嚴重	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=更	w[0]=嚴重	w[1]=！	pos[-1]=ADV	pos[0]=Vi	pos[1]=EXCLAMATIONCATEGORY
EXCLAMATIONCATEGORY	w[-1]=嚴重	w[0]=！	w[1]=這	pos[-1]=Vi	pos[0]=EXCLAMATIONCATEGORY	pos[1]=DET
DET	w[-1]=！	w[0]=這	w[1]=個	pos[-1]=EXCLAMATIONCATEGORY	pos[0]=DET	pos[1]=M
M	w[-1]=這	w[0]=個	w[1]=發現	pos[-1]=DET	pos[0]=M	pos[1]=Vt
Vt	w[-1]=個	w[0]=發現	w[1]=似乎	pos[-1]=M	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=發現	w[0]=似乎	w[1]=與	pos[-1]=Vt	pos[0]=ADV	pos[1]=P
P	w[-1]=似乎	w[0]=與	w[1]=我們	pos[-1]=ADV	pos[0]=P	pos[1]=N
N	w[-1]=與	w[0]=我們	w[1]=所	pos[-1]=P	pos[0]=N	pos[1]=ADV
ADV	w[-1]=我們	w[0]=所	w[1]=認知	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=所	w[0]=認知	w[1]=的	pos[-1]=ADV	pos[0]=Vt	pos[1]=T
T	w[-1]=認知	w[0]=的	w[1]=關於	pos[-1]=Vt	pos[0]=T	pos[1]=P
P	w[-1]=的	w[0]=關於	w[1]=「	pos[-1]=T	pos[0]=P	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=關於	w[0]=「	w[1]=友誼	pos[-1]=P	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=友誼	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=友誼	w[0]=」	w[1]=的	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=T
T	w[-1]=」	w[0]=的	w[1]=功能	pos[-1]=PARENTHESISCATEGORY	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=功能	w[1]=背道而馳	pos[-1]=T	pos[0]=N	pos[1]=Vi
Vi	w[-1]=功能	w[0]=背道而馳	w[1]=。	pos[-1]=N	pos[0]=Vi	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=背道而馳	w[0]=。	w[1]=朋友	pos[-1]=Vi	pos[0]=PERIODCATEGORY	pos[1]=N	__EOS__
N	w[-1]=。	w[0]=朋友	w[1]=的	pos[-1]=PERIODCATEGORY	pos[0]=N	pos[1]=T
T	w[-1]=朋友	w[0]=的	w[1]=重要	pos[-1]=N	pos[0]=T	pos[1]=Vi
Vi	w[-1]=的	w[0]=重要	w[1]=功能	pos[-1]=T	pos[0]=Vi	pos[1]=N
N	w[-1]=重要	w[0]=功能	w[1]=之	pos[-1]=Vi	pos[0]=N	pos[1]=T
T	w[-1]=功能	w[0]=之	w[1]=一	pos[-1]=N	pos[0]=T	pos[1]=DET
DET	w[-1]=之	w[0]=一	w[1]=不	pos[-1]=T	pos[0]=DET	pos[1]=ADV
ADV	w[-1]=一	w[0]=不	w[1]=就是	pos[-1]=DET	pos[0]=ADV	pos[1]=C
C	w[-1]=不	w[0]=就是	w[1]=自己	pos[-1]=ADV	pos[0]=C	pos[1]=N
N	w[-1]=就是	w[0]=自己	w[1]=心情	pos[-1]=C	pos[0]=N	pos[1]=N
N	w[-1]=自己	w[0]=心情	w[1]=不	pos[-1]=N	pos[0]=N	pos[1]=ADV
ADV	w[-1]=心情	w[0]=不	w[1]=好	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=不	w[0]=好	w[1]=時	pos[-1]=ADV	pos[0]=Vi	pos[1]=POST
POST	w[-1]=好	w[0]=時	w[1]=能夠	pos[-1]=Vi	pos[0]=POST	pos[1]=ADV
ADV	w[-1]=時	w[0]=能夠	w[1]=聽	pos[-1]=POST	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=能夠	w[0]=聽	w[1]=我們	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=聽	w[0]=我們	w[1]=訴苦	pos[-1]=Vt	pos[0]=N	pos[1]=Vi
Vi	w[-1]=我們	w[0]=訴苦	w[1]=嗎	pos[-1]=N	pos[0]=Vi	pos[1]=T
T	w[-1]=訴苦	w[0]=嗎	w[1]=？	pos[-1]=Vi	pos[0]=T	pos[1]=QUESTIONCATEGORY
QUESTIONCATEGORY	w[-1]=嗎	w[0]=？	w[1]=主持	pos[-1]=T	pos[0]=QUESTIONCATEGORY	pos[1]=Vt
Vt	w[-1]=？	w[0]=主持	w[1]=這	pos[-1]=QUESTIONCATEGORY	pos[0]=Vt	pos[1]=DET
DET	w[-1]=主持	w[0]=這	w[1]=項	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=這	w[0]=項	w[1]=研究	pos[-1]=DET	pos[0]=M	pos[1]=Nv
Nv	w[-1]=項	w[0]=研究	w[1]=的	pos[-1]=M	pos[0]=Nv	pos[1]=T
T	w[-1]=研究	w[0]=的	w[1]=心理學家	pos[-1]=Nv	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=心理學家	w[1]=發現	pos[-1]=T	pos[0]=N	pos[1]=Vt
Vt	w[-1]=心理學家	w[0]=發現	w[1]=，	pos[-1]=N	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=發現	w[0]=，	w[1]=無論	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=無論	w[1]=男女	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=無論	w[0]=男女	w[1]=當	pos[-1]=C	pos[0]=N	pos[1]=P
P	w[-1]=男女	w[0]=當	w[1]=遭遇到	pos[-1]=N	pos[0]=P	pos[1]=Vt
Vt	w[-1]=當	w[0]=遭遇到	w[1]=問題	pos[-1]=P	pos[0]=Vt	pos[1]=N
N	w[-1]=遭遇到	w[0]=問題	w[1]=時	pos[-1]=Vt	pos[0]=N	pos[1]=POST
POST	w[-1]=問題	w[0]=時	w[1]=（	pos[-1]=N	pos[0]=POST	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=時	w[0]=（	w[1]=如	pos[-1]=POST	pos[0]=PARENTHESISCATEGORY	pos[1]=C
C	w[-1]=（	w[0]=如	w[1]=被	pos[-1]=PARENTHESISCATEGORY	pos[0]=C	pos[1]=P
P	w[-1]=如	w[0]=被	w[1]=公司	pos[-1]=C	pos[0]=P	pos[1]=N
N	w[-1]=被	w[0]=公司	w[1]=同事	pos[-1]=P	pos[0]=N	pos[1]=N
N	w[-1]=公司	w[0]=同事	w[1]=孤立	pos[-1]=N	pos[0]=N	pos[1]=Vt
Vt	w[-1]=同事	w[0]=孤立	w[1]=或	pos[-1]=N	pos[0]=Vt	pos[1]=C
C	w[-1]=孤立	w[0]=或	w[1]=喜歡	pos[-1]=Vt	pos[0]=C	pos[1]=Vt
Vt	w[-1]=或	w[0]=喜歡	w[1]=的	pos[-1]=C	pos[0]=Vt	pos[1]=T
T	w[-1]=喜歡	w[0]=的	w[1]=對象	pos[-1]=Vt	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=對象	w[1]=不	pos[-1]=T	pos[0]=N	pos[1]=ADV
ADV	w[-1]=對象	w[0]=不	w[1]=理睬	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=不	w[0]=理睬	w[1]=自己	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=理睬	w[0]=自己	w[1]=）	pos[-1]=Vt	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=自己	w[0]=）	w[1]=，	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=）	w[0]=，	w[1]=通常	pos[-1]=PARENTHESISCATEGORY	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=通常	w[1]=都	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=通常	w[0]=都	w[1]=喜歡	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=都	w[0]=喜歡	w[1]=找	pos[-1]=ADV	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=喜歡	w[0]=找	w[1]=朋友	pos[-1]=Vt	pos[0]=Vt	pos[1]=N
N	w[-1]=找	w[0]=朋友	w[1]=訴說	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=朋友	w[0]=訴說	w[1]=這些	pos[-1]=N	pos[0]=Vt	pos[1]=DET
DET	w[-1]=訴說	w[0]=這些	w[1]=困擾	pos[-1]=Vt	pos[0]=DET	pos[1]=N
N	w[-1]=這些	w[0]=困擾	w[1]=。	pos[-1]=DET	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=困擾	w[0]=。	w[1]=但是	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=C	__EOS__
C	w[-1]=。	w[0]=但是	w[1]=如果	pos[-1]=PERIODCATEGORY	pos[0]=C	pos[1]=C
C	w[-1]=但是	w[0]=如果	w[1]=這些	pos[-1]=C	pos[0]=C	pos[1]=DET
DET	w[-1]=如果	w[0]=這些	w[1]=耗盡	pos[-1]=C	pos[0]=DET	pos[1]=Vt
Vt	w[-1]=這些	w[0]=耗盡	w[1]=漫漫長夜	pos[-1]=DET	pos[0]=Vt	pos[1]=N
N	w[-1]=耗盡	w[0]=漫漫長夜	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=漫漫長夜	w[0]=的	w[1]=促膝	pos[-1]=N	pos[0]=T	pos[1]=ADV
ADV	w[-1]=的	w[0]=促膝	w[1]=長談	pos[-1]=T	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=促膝	w[0]=長談	w[1]=或	pos[-1]=ADV	pos[0]=Vt	pos[1]=C
C	w[-1]=長談	w[0]=或	w[1]=昂貴	pos[-1]=Vt	pos[0]=C	pos[1]=Vi
Vi	w[-1]=或	w[0]=昂貴	w[1]=的	pos[-1]=C	pos[0]=Vi	pos[1]=T
T	w[-1]=昂貴	w[0]=的	w[1]=電話	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=電話	w[1]=帳單	pos[-1]=T	pos[0]=N	pos[1]=N
N	w[-1]=電話	w[0]=帳單	w[1]=持續	pos[-1]=N	pos[0]=N	pos[1]=Vt
Vt	w[-1]=帳單	w[0]=持續	w[1]=六	pos[-1]=N	pos[0]=Vt	pos[1]=DET
DET	w[-1]=持續	w[0]=六	w[1]=個	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=六	w[0]=個	w[1]=月	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=個	w[0]=月	w[1]=或	pos[-1]=M	pos[0]=N	pos[1]=C
C	w[-1]=月	w[0]=或	w[1]=更	pos[-1]=N	pos[0]=C	pos[1]=ADV
ADV	w[-1]=或	w[0]=更	w[1]=久	pos[-1]=C	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=更	w[0]=久	w[1]=，	pos[-1]=ADV	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=久	w[0]=，	w[1]=女性	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=女性	w[1]=焦慮	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=Nv
Nv	w[-1]=女性	w[0]=焦慮	w[1]=以及	pos[-1]=N	pos[0]=Nv	pos[1]=C
C	w[-1]=焦慮	w[0]=以及	w[1]=沮喪	pos[-1]=Nv	pos[0]=C	pos[1]=Vi
Vi	w[-1]=以及	w[0]=沮喪	w[1]=的	pos[-1]=C	pos[0]=Vi	pos[1]=T
T	w[-1]=沮喪	w[0]=的	w[1]=情緒	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=情緒	w[1]=則	pos[-1]=T	pos[0]=N	pos[1]=ADV
ADV	w[-1]=情緒	w[0]=則	w[1]=明顯	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=則	w[0]=明顯	w[1]=惡化	pos[-1]=ADV	pos[0]=Vi	pos[1]=Vi
Vi	w[-1]=明顯	w[0]=惡化	w[1]=，	pos[-1]=Vi	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=惡化	w[0]=，	w[1]=而	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=而	w[1]=男性	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=而	w[0]=男性	w[1]=的	pos[-1]=C	pos[0]=N	pos[1]=T
T	w[-1]=男性	w[0]=的	w[1]=焦慮	pos[-1]=N	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=焦慮	w[1]=以及	pos[-1]=T	pos[0]=Nv	pos[1]=C
C	w[-1]=焦慮	w[0]=以及	w[1]=沮喪	pos[-1]=Nv	pos[0]=C	pos[1]=Vi
Vi	w[-1]=以及	w[0]=沮喪	w[1]=的	pos[-1]=C	pos[0]=Vi	pos[1]=T
T	w[-1]=沮喪	w[0]=的	w[1]=情緒	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=情緒	w[1]=雖然	pos[-1]=T	pos[0]=N	pos[1]=C
C	w[-1]=情緒	w[0]=雖然	w[1]=沒有	pos[-1]=N	pos[0]=C	pos[1]=Vt
Vt	w[-1]=雖然	w[0]=沒有	w[1]=惡化	pos[-1]=C	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=沒有	w[0]=惡化	w[1]=但	pos[-1]=Vt	pos[0]=Vi	pos[1]=C
C	w[-1]=惡化	w[0]=但	w[1]=也	pos[-1]=Vi	pos[0]=C	pos[1]=ADV
ADV	w[-1]=但	w[0]=也	w[1]=未	pos[-1]=C	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=也	w[0]=未	w[1]=見	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=未	w[0]=見	w[1]=任何	pos[-1]=ADV	pos[0]=Vt	pos[1]=DET
DET	w[-1]=見	w[0]=任何	w[1]=改善	pos[-1]=Vt	pos[0]=DET	pos[1]=Nv
Nv	w[-1]=任何	w[0]=改善	w[1]=。	pos[-1]=DET	pos[0]=Nv	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=改善	w[0]=。	w[1]=這	pos[-1]=Nv	pos[0]=PERIODCATEGORY	pos[1]=DET	__EOS__
DET	w[-1]=。	w[0]=這	w[1]=項	pos[-1]=PERIODCATEGORY	pos[0]=DET	pos[1]=M
M	w[-1]=這	w[0]=項	w[1]=研究	pos[-1]=DET	pos[0]=M	pos[1]=Nv
Nv	w[-1]=項	w[0]=研究	w[1]=並未	pos[-1]=M	pos[0]=Nv	pos[1]=ADV
ADV	w[-1]=研究	w[0]=並未	w[1]=指出	pos[-1]=Nv	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=並未	w[0]=指出	w[1]=朋友	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=指出	w[0]=朋友	w[1]=之間	pos[-1]=Vt	pos[0]=N	pos[1]=POST
POST	w[-1]=朋友	w[0]=之間	w[1]=抱怨	pos[-1]=N	pos[0]=POST	pos[1]=Vt
Vt	w[-1]=之間	w[0]=抱怨	w[1]=（	pos[-1]=POST	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=抱怨	w[0]=（	w[1]=或是	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=C
C	w[-1]=（	w[0]=或是	w[1]=我	pos[-1]=PARENTHESISCATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=或是	w[0]=我	w[1]=稱為	pos[-1]=C	pos[0]=N	pos[1]=Vt
Vt	w[-1]=我	w[0]=稱為	w[1]=「	pos[-1]=N	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=稱為	w[0]=「	w[1]=交換	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=Vt
Vt	w[-1]=「	w[0]=交換	w[1]=惡劣	pos[-1]=PARENTHESISCATEGORY	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=交換	w[0]=惡劣	w[1]=情緒	pos[-1]=Vt	pos[0]=Vi	pos[1]=N
N	w[-1]=惡劣	w[0]=情緒	w[1]=」	pos[-1]=Vi	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=情緒	w[0]=」	w[1]=來	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=Vi
Vi	w[-1]=」	w[0]=來	w[1]=的	pos[-1]=PARENTHESISCATEGORY	pos[0]=Vi	pos[1]=T
T	w[-1]=來	w[0]=的	w[1]=好聽	pos[-1]=Vi	pos[0]=T	pos[1]=Vi
Vi	w[-1]=的	w[0]=好聽	w[1]=一些	pos[-1]=T	pos[0]=Vi	pos[1]=DET
DET	w[-1]=好聽	w[0]=一些	w[1]=）	pos[-1]=Vi	pos[0]=DET	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=一些	w[0]=）	w[1]=，	pos[-1]=DET	pos[0]=PARENTHESISCATEGORY	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=）	w[0]=，	w[1]=其實	pos[-1]=PARENTHESISCATEGORY	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=其實	w[1]=隱藏	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=其實	w[0]=隱藏	w[1]=著	pos[-1]=ADV	pos[0]=Vt	pos[1]=ASP
ASP	w[-1]=隱藏	w[0]=著	w[1]=更多	pos[-1]=Vt	pos[0]=ASP	pos[1]=DET
DET	w[-1]=著	w[0]=更多	w[1]=的	pos[-1]=ASP	pos[0]=DET	pos[1]=T
T	w[-1]=更多	w[0]=的	w[1]=潛在	pos[-1]=DET	pos[0]=T	pos[1]=A
A	w[-1]=的	w[0]=潛在	w[1]=危險性	pos[-1]=T	pos[0]=A	pos[1]=N
N	w[-1]=潛在	w[0]=危險性	w[1]=。	pos[-1]=A	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=危險性	w[0]=。	w[1]=在	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=P	__EOS__
P	w[-1]=。	w[0]=在	w[1]=數千	pos[-1]=PERIODCATEGORY	pos[0]=P	pos[1]=DET
DET	w[-1]=在	w[0]=數千	w[1]=個	pos[-1]=P	pos[0]=DET	pos[1]=M
M	w[-1]=數千	w[0]=個	w[1]=小時	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=個	w[0]=小時	w[1]=與	pos[-1]=M	pos[0]=N	pos[1]=C
C	w[-1]=小時	w[0]=與	w[1]=個案	pos[-1]=N	pos[0]=C	pos[1]=N
N	w[-1]=與	w[0]=個案	w[1]=的	pos[-1]=C	pos[0]=N	pos[1]=T
T	w[-1]=個案	w[0]=的	w[1]=隱密	pos[-1]=N	pos[0]=T	pos[1]=Vi
Vi	w[-1]=的	w[0]=隱密	w[1]=對談	pos[-1]=T	pos[0]=Vi	pos[1]=Vi
Vi	w[-1]=隱密	w[0]=對談	w[1]=中	pos[-1]=Vi	pos[0]=Vi	pos[1]=POST
POST	w[-1]=對談	w[0]=中	w[1]=，	pos[-1]=Vi	pos[0]=POST	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=中	w[0]=，	w[1]=我	pos[-1]=POST	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=我	w[1]=聽到	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=Vt
Vt	w[-1]=我	w[0]=聽到	w[1]=比	pos[-1]=N	pos[0]=Vt	pos[1]=P
P	w[-1]=聽到	w[0]=比	w[1]=一般人	pos[-1]=Vt	pos[0]=P	pos[1]=N
